Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID104,Authenticity check: QID106,Authenticity check: QID124,Authenticity check: QID125,Authenticity check: QID126,Authenticity check: QID127,Authenticity check: QID128,Authenticity check: QID130,Authenticity check: QID137,Authenticity check: QID138,Authenticity check: QID139,Authenticity check: QID140,Authenticity check: QID141,Authenticity check: QID5,Authenticity check: QID6,Authenticity check: QID93,Authenticity check: QID97,Authenticity check: QID99
693c5a92d1097742ce14ec6a,677454d2ffb9721d9469456a,APPROVED,Not Applicable,2025-12-12T18:10:31.329000Z,2025-12-12T18:27:39.583000Z,2025-12-13T10:56:11.906000Z,2025-12-12T18:27:39.999757Z,1029.0,CCPXUCJH,1534,35,Female,White,United States,United States,United States,English,No,Part-Time,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5a96e0aa99853181a57b,5e98e245aa25c6120f522a40,APPROVED,Not Applicable,2025-12-12T18:11:02.858000Z,2025-12-12T18:28:47.206000Z,2025-12-13T10:56:12.313000Z,2025-12-12T18:28:47.547144Z,1065.0,CCPXUCJH,1195,41,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,N/A,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5aa75f676c54cbb91471,665a234c97c127c4605a9be1,APPROVED,Not Applicable,2025-12-12T18:10:51.546000Z,2025-12-12T18:22:37.457000Z,2025-12-13T10:56:13.513000Z,2025-12-12T18:22:37.788597Z,706.0,CCPXUCJH,732,31,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,N/A,Pass,N/A,Pass,N/A,Pass
693c5ab178e7bfa4a3b4aefb,67ba6209a0c1d8cdbc36fe90,APPROVED,Not Applicable,2025-12-12T18:11:03.303000Z,2025-12-12T18:28:44.161000Z,2025-12-13T10:56:13.890000Z,2025-12-12T18:28:44.498563Z,1061.0,CCPXUCJH,669,54,Female,White,United States,United States,United States,English,No,Full-Time,Pass,N/A,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5ac0119a842ddda770c7,6929d6581f54fd39c4c59891,APPROVED,Not Applicable,2025-12-12T18:11:17.897000Z,2025-12-12T18:28:38.981000Z,2025-12-13T10:56:14.305000Z,2025-12-12T18:28:39.338717Z,1042.0,CCPXUCJH,89,20,Female,Mixed,United States,United States,United States,English,No,Part-Time,N/A,Pass,N/A,Pass,Pass,Pass,N/A,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5b16c5f112f55e268c09,66d40e332be72e1fc3f10994,APPROVED,Not Applicable,2025-12-12T18:12:42.232000Z,2025-12-12T18:22:54.951000Z,2025-12-13T10:56:14.741000Z,2025-12-12T18:22:55.298133Z,613.0,CCPXUCJH,1242,36,Female,DATA_EXPIRED,United States,United States,United States,English,No,Full-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5b41d91514ed98e9b80a,66a7cfbe34912bdc644b6bf5,APPROVED,Not Applicable,2025-12-12T18:13:25.398000Z,2025-12-12T18:36:43.161000Z,2025-12-13T10:56:15.171000Z,2025-12-12T18:36:43.498991Z,1398.0,CCPXUCJH,1036,27,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),N/A,Pass,N/A,Pass,N/A,Pass,Pass,N/A,Pass,N/A,N/A,Pass,N/A,Pass,N/A,Pass,N/A,N/A
693c5b71dbe49f0bfec9c6ef,663c96417cf7568733cd1b96,APPROVED,Not Applicable,2025-12-12T18:14:39.323000Z,2025-12-12T18:33:34.435000Z,2025-12-13T10:56:15.570000Z,2025-12-12T18:33:34.866436Z,1136.0,CCPXUCJH,975,25,Female,Mixed,United States,United States,United States,English,No,Other,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
693c5b8509f8294a4296c9cf,67dec78617088acfae7e4475,APPROVED,Not Applicable,2025-12-12T18:14:36.539000Z,2025-12-12T18:38:38.897000Z,2025-12-13T10:56:15.959000Z,2025-12-12T18:38:39.299837Z,1443.0,CCPXUCJH,984,25,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time,Pass,Pass,Pass,Pass,Pass,N/A,N/A,N/A,Pass,Pass,Pass,Pass,N/A,Pass,N/A,Pass,Pass,Pass
693c5b8a9bb52dbbbd4a79cb,667041824bfac26003bcc3cd,APPROVED,Not Applicable,2025-12-12T18:15:16.147000Z,2025-12-12T18:25:12.875000Z,2025-12-13T10:56:16.372000Z,2025-12-12T18:25:13.377373Z,597.0,CCPXUCJH,1517,29,Female,Mixed,United States,United States,United States,English,Yes,Part-Time,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,N/A,Pass,Pass,Pass
