"Measure","Observed","Mean_Sim","SD_Sim","Z_score","p_value"
"NODF",77.9878899243055,65.7624353829146,0.641228635636817,19.0656715279873,0.00199600798403194
"Temperature",13.1207415856527,27.4306672293344,0.978243189581302,-14.6245822913255,0.00199600798403194
