"Measure","Observed","Mean_Sim","SD_Sim","Z_score","p_value"
"NODF",77.987889924306,65.762435382915,0.641228635636908,19.0656715279846,0.00199600798403194
"Temperature",13.1187432210575,27.4306672293343,0.978243189581302,-14.6245822913255,0.00199600798403194
