"model","LLMax","mu","sigma","noise","beta","diff"
"S1_MAIN",-8012.4647282537,-0.0734323107659825,0.550593611515983,0.432775451339773,2.527480446764,NA
"S1_NULL",-9701.11078378327,NA,NA,NA,1.05208518153695,NA
"S1_NULL_2",-9099.17117152029,NA,NA,NA,1.11432189681274,0.417862449570093
